Artistas,Metallica,A-ha,Soda Stereo,Kiss,Kool & The Gang y KC and the Sunshine Band,Gloria Gaynor
Lugar,Estadio Nacional,Movistar Arena,Estadio Nacional,Movistar Arena,Movistar Arena,Movistar Arena
S: Pacífico Medio,"$161,000",$0,"$120,800",$0,$0,$0
S: Pacífico Alto,"$138,000",$0,"$97,800",$0,$0,$0
S: Pacífico Bajo,"$112,700",$0,"$109,300",$0,$0,$0
S: Cancha VIP,"$97,750",$0,"$86,300","$173,650",$0,$0
S: Andes,"$74,750",$0,"$57,500",$0,$0,$0
S: Pacífico Lateral,"$65,550",$0,"$46,000",$0,$0,$0
S: Cancha General,"$51,750",$0,"$36,800","$67,850",$0,$0
S: Silla de Ruedas,"$36,800","$33,350",$0,$0,$0,$0
S: +1 Silla de Ruedas,"$36,800","$33,350",$0,$0,$0,$0
S: Diamante,0,"$112,700",$0,$0,$0,$0
S: Platinum,0,"$102,350",$0,$0,"$114,000","$59,400"
S: Platea Zafiro,0,"$80,850",$0,$0,$0,$0
S: Platea Royal,0,"$82,800",$0,$0,$0,$0
S: Golden,0,"$77,050",$0,$0,"$91,200","$49,500"
S: Platea Alta,0,"$46,000",$0,"$48,300","$39,900","$29,700"
S: Tribuna,0,"$33,350",$0,"$33,350",$0,$0
S: Silla de Ruedas y +1,0,$0,"$55,200",$0,$0,$0
S: Platea Baja,0,$0,$0,"$113,850","$51,300",$0
S: Platea Baja Preferencial,0,$0,$0,"$136,850",$0,$0
S: Diamante Central,0,$0,$0,$0,"$171,000","$79,200"
S: Diamante Lateral,0,$0,$0,$0,"$159,600","$69,300"
S: Silver,0,$0,$0,$0,"$68,400",$0
S: Platea Baja Norte,0,$0,$0,$0,$0,"$39,600"
S: Platea Baja Sur,0,$0,$0,$0,$0,"$39,600"
S: Galeria,"$36,800",$0,"$28,800",$0,$0,$0
